Leading Gene name,Leading Protein ID,Median_cirrhosis,Median_nonNAFLD,Median_NAFLD,P-value [-Log10],Log2 difference,RNA tissue category,Significant,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Protein IDs,Majority protein IDs,Protein names,Gene names
V5-2,A2MYC8,27.342305,26.27853,26.18302,0.998161751,1.707263141,,,3,3,3,26,26,26,11.041,0,34.276,14978000000,98,A2MYC8;A0A0B4J1Y8;Q8TBD0,A2MYC8;A0A0B4J1Y8;Q8TBD0,,V5-2;IGLV9-49
IGHV3-72,A0A0F7TAG7,27.323785,26.46295,26.795635,0.630376271,0.396522098,,,3,2,1,30.1,23.3,10.7,11.676,0,61.494,26816000000,187,A0A0F7TAG7;A0A0B4J1Y9,A0A0F7TAG7;A0A0B4J1Y9,,IGHV3-72
LYZ,P61626,26.554715,26.04843,26.090135,1.336752703,0.86184082,,,4,4,4,24.3,24.3,24.3,16.537,0,18.771,30319000000,69,P61626;F8VV32;A0A0B4J259;B2R4C5,P61626;F8VV32;A0A0B4J259;B2R4C5,Lysozyme C;Lysozyme,LYZ
CRTAC1,Q9NQ79,29.90142,29.75334,29.99471,0.217231554,-0.173704953,,,21,21,21,48.6,48.6,48.6,71.42,0,323.31,3.22E+11,290,Q9NQ79;A0A0C4DFP6;Q5T4F6,Q9NQ79;A0A0C4DFP6;Q5T4F6,Cartilage acidic protein 1,CRTAC1
GP1BA,P07359,24.299535,24.14102,23.712915,0.393748791,-0.214151086,,,10,10,1,19.5,19.5,1.8,71.539,0,281.6,2.52E+11,256,P07359;E0D854;A0A193AU54;L7UV37;A0A193AUV8;A0A0C4DGZ8;A5CKE2;L7UYB8;E0D852;E0D853;A0A193AUJ5;L7URT5;E5FY30;A0A193AUC0;Q06AK0,P07359;E0D854;A0A193AU54;L7UV37;A0A193AUV8;A0A0C4DGZ8;A5CKE2;L7UYB8;E0D852;E0D853;A0A193AUJ5;L7URT5;E5FY30,Platelet glycoprotein Ib alpha chain;Glycocalicin,GP1BA
IGHV5-51,A0A0C4DH38,30.501395,29.39509,29.705445,3.390003471,1.002395969,,+,4,3,0,47,37.6,0,12.674,0,184.85,1.49E+11,297,A0A0C4DH38;A0A0F7TAV4,A0A0C4DH38;A0A0F7TAV4,,IGHV5-51
IGKV1-8,A0A0C4DH67,28.03482,27.67303,27.72562,0.287770602,-0.333772002,,,3,2,0,40,27,0,12.537,0,158.12,36980000000,250,A0A0C4DH67;A0A0C4DH69,A0A0C4DH67;A0A0C4DH69,,IGKV1-8;IGKV1-9
FAP,Q12884,22.759805,21.83156,22.70285,1.39365239,0.860173946,,,20,19,19,27.6,26.7,26.7,87.711,0,198.2,10555000000,69,Q12884;A0A172Q3A0;A0A0D9SEN1;A0A140GPP7;B4DLR2;B2RD89;C9J131;H0YG61;F8WF29,Q12884;A0A172Q3A0;A0A0D9SEN1;A0A140GPP7;B4DLR2;B2RD89,"Prolyl endopeptidase FAP;Antiplasmin-cleaving enzyme FAP, soluble form",FAP
LILRA2,Q8N149,23.33201,23.72858,23.72337,0.007006905,-0.009589831,,,7,7,7,20.3,20.3,20.3,52.991,0,108.82,7804900000,27,Q8N149;A8MZH0;A0A0G2JMW8;A0A0G2JMC9;A0A0D9SFC7;Q99702;E9PDF4;A0A0G2JMR2,Q8N149;A8MZH0;A0A0G2JMW8;A0A0G2JMC9,Leukocyte immunoglobulin-like receptor subfamily A member 2,LILRA2
LILRA6,Q6PI73,26.405115,26.32903,26.04509,0.491279012,1.107902315,,,5,4,4,13.1,9.1,9.1,52.399,0.00059701,4.922,13233000000,8,Q6PI73;U5QEM8;U5QBB5;U5XHE4;U5XHE0;U5XHD7;A0A0G2JMN6;U5XHD3;O75022;U5QBH1;U5QEV1;U5QBH7;U5QBI2;U5XKI1;A0A0G2JN36;A0A0G2JLX6;U5QEL4;U5QBG3;U5QB67;U5QBC0;A0A0G2JPG2;B5ME96;U5XI37;U5XH19;A0A0G2JQ26;A0A0G2JPY1;U5XH26;A0A0G2JN43;A0A0G2JPK5;A0A0G2JPA2;A0A0G2JQ24;U5XJY8;U5XKH1;U5XJY5;U5XI32;U5XHC8;U5XJY1;U5XHC3;A0A0G2JQ25;A0A0G2JPW1;A0A0G2JM46;A0A0G2JPR9;A0A0G2JMM1;A0A0G2JMZ3;A0A0G2JPN1;A0A0G2JNW3;A0A0G2JLU2;A0A0G2JPI7;U5QBC5;U5QB77;U5QB82;U5QEU5;U5QEM4;U5QET3;U5QET8;A0A0G2JPW2;A0A0G2JMX0;U5QEL9;U5QBD0;U5XH23;U5XJZ2;A0A0G2JN08;U5XI30;U5XH15;A0A0G2JLT7;A0A0G2JNB3;F8W6G6;A0A0G2JN67;F8WD89;A0A0G2JM95;A0A0G2JLX9;A0A0U4ARJ3;C9JWL8,Q6PI73;U5QEM8;U5QBB5;U5XHE4;U5XHE0;U5XHD7;A0A0G2JMN6;U5XHD3;O75022;U5QBH1;U5QEV1;U5QBH7;U5QBI2;U5XKI1;A0A0G2JN36;A0A0G2JLX6;U5QEL4;U5QBG3;U5QB67;U5QBC0;A0A0G2JPG2;B5ME96;U5XI37;U5XH19;A0A0G2JQ26;A0A0G2JPY1;U5XH26;A0A0G2JN43;A0A0G2JPK5;A0A0G2JPA2;A0A0G2JQ24;U5XJY8;U5XKH1;U5XJY5;U5XI32;U5XHC8;U5XJY1;U5XHC3;A0A0G2JQ25;A0A0G2JPW1;A0A0G2JM46;A0A0G2JPR9;A0A0G2JMM1;A0A0G2JMZ3;A0A0G2JPN1;A0A0G2JNW3;A0A0G2JLU2;A0A0G2JPI7;U5QBC5;U5QB77;U5QB82;U5QEU5;U5QEM4;U5QET3;U5QET8;A0A0G2JPW2;A0A0G2JMX0;U5QEL9;U5QBD0;U5XH23;U5XJZ2;A0A0G2JN08;U5XI30;U5XH15;A0A0G2JLT7;A0A0G2JNB3;F8W6G6;A0A0G2JN67,Leukocyte immunoglobulin-like receptor subfamily A member 6;Leukocyte immunoglobulin-like receptor subfamily B member 3,LILRA6;LILRB3
,A0A0G2JRQ6,27.174355,27.47073,27.03964,0.149245152,-0.174664116,,,3,2,2,26.5,19.7,19.7,12.748,0,15.201,35390000000,111,A0A0G2JRQ6,A0A0G2JRQ6,,
V4-2,Q5NV82,26.544795,26.2021,25.90802,0.148473034,0.166065809,,,4,4,4,33.7,33.7,33.7,11.142,0,7.5985,11257000000,34,Q5NV82;A0A0G2JSC0;A0A087WSX0;A0A0G2JS06;A0A075B6I7,Q5NV82;A0A0G2JSC0;A0A087WSX0;A0A0G2JS06,,V4-2;IGLV5-45
CST3,P01034,26.226715,25.92592,25.56554,1.432154717,0.391237005,,,7,7,7,61.6,61.6,61.6,15.799,0,152.61,1.03E+11,216,P01034;A0A0K0K1J1,P01034;A0A0K0K1J1,Cystatin-C,CST3
PSMA7,O14818,23.638785,23.07547,23.85727,0.151213296,-0.285727543,,,9,9,9,44.4,44.4,44.4,27.887,0,62.588,9064500000,28,O14818;Q05DH1;A0A0K0K1K4;H0Y586;Q8TAA3;H0UI83;B0YJ74;A0A087WYS6;Q4G1B8;F5GY34,O14818;Q05DH1;A0A0K0K1K4;H0Y586,Proteasome subunit alpha type-7;Proteasome subunit alpha type,PSMA7
APOE,P02649,32.88735,32.82904,32.953515,0.477938724,0.16737086,,,24,24,8,75.4,75.4,22.7,36.154,0,323.31,2.30E+12,2796,P02649;A0A0S2Z3D5;J9ZVQ3;H0Y7L5;E9PEV4;E7ERP7;Q6LBZ1;A0A0S2Z3J5;A0A0S2Z3B1;D9ZB55;Q6LA97;CON__Q03247;Q6ZP45;Q13791,P02649;A0A0S2Z3D5;J9ZVQ3;H0Y7L5;E9PEV4;E7ERP7,Apolipoprotein E,APOE
CETP,P11597,25.63174,25.58978,25.147295,0.224152546,-0.123712413,Group enriched,,18,18,18,48.3,48.3,48.3,54.756,0,238.39,25342000000,124,P11597;A0A0S2Z3F6;A8K6C1;Q5TZS4;B4DMZ5;A0A0S2Z3I8;H3BRJ9;Q9H4L8,P11597;A0A0S2Z3F6;A8K6C1;Q5TZS4;B4DMZ5;A0A0S2Z3I8;H3BRJ9,Cholesteryl ester transfer protein,CETP
EFEMP1,Q12805,21.418975,24.98902,21.53747,0.406659266,-0.926255247,,,9,9,9,23.9,23.9,23.9,54.64,0,181.97,41433000000,81,Q12805;A0A0U1RQV3;B4DWH0;A0A0S2Z3V1;Q59G97;A8KAJ3;A0A0S2Z4F1;Q53TA7;B2R6M6;B3KS53;Q580Q6,Q12805;A0A0U1RQV3;B4DWH0;A0A0S2Z3V1;Q59G97;A8KAJ3;A0A0S2Z4F1;Q53TA7;B2R6M6;B3KS53,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1
LGALS3BP,Q08380,29.96084,28.54628,29.26662,2.362539622,0.96238255,,+,18,18,18,34.7,34.7,34.7,65.33,0,323.31,4.20E+11,779,Q08380;B4DVE1;A0A0S2Z3Y1;B3KP88;B4DDG4;B4DWA8;B4DI70;K7EP36;K7ESM3;K7EKQ5;K7EJY8;K7EQT9;K7ES75;K7EN99;K7ERZ6;K7EJD3,Q08380;B4DVE1;A0A0S2Z3Y1;B3KP88;B4DDG4;B4DWA8;B4DI70,Galectin-3-binding protein,LGALS3BP
CFP,P27918,25.77889,25.97049,25.834215,0.465286046,-0.385025597,,,10,10,10,24.9,24.9,24.9,51.276,0,68.914,1.17E+11,244,P27918;A0A0S2Z4I5;B3KVK6;E9PAQ1;C9J7V5;A0A0S2Z515,P27918;A0A0S2Z4I5;B3KVK6;E9PAQ1,Properdin,CFP
PROS1,P07225,30.796485,30.94,30.998325,2.363861545,-0.180266507,Tissue enhanced,+,25,25,15,37.4,37.4,29.7,75.122,0,323.31,6.18E+11,1460,P07225;A0A0S2Z4K3;A0A0S2Z4L3;G5E9F8;Q9NSD0;Q16519;B4E1L6;H7BXT0;Q8IXD4;Q8IXC3;Q8IXD1;CON__P07224;Q8IVH1;Q8IXD3;Q8IXD0;Q8J011;Q8J010;Q06F34;C9K0R0;Q8IXD2;Q8IXC9;Q7KYZ1;Q1W147;Q1W148,P07225;A0A0S2Z4K3;A0A0S2Z4L3;G5E9F8;Q9NSD0;Q16519;B4E1L6,Vitamin K-dependent protein S,PROS1
TGFBI,Q15582,27.865185,27.43141,27.68948,3.961717716,0.471179793,,+,25,25,24,51.1,51.1,48.9,74.68,0,323.31,2.65E+11,453,Q15582;A0A0S2Z4Q2;Q53GU8;A0A0S2Z4K6;H0Y8L3;S4R3C6;Q59F63;H0Y9D7;H0YAH8;H0YAB8;D6RBX4;H0Y8M8,Q15582;A0A0S2Z4Q2;Q53GU8;A0A0S2Z4K6;H0Y8L3,Transforming growth factor-beta-induced protein ig-h3,TGFBI
PRG4,A0A0U1RR20,27.26579,28.01903,28.207575,1.788625626,-0.540556865,Tissue enriched,,31,31,31,23.7,23.7,23.7,146.45,0,323.31,2.53E+11,421,A0A0U1RR20;Q92954;A0A024R930;B3KQ20;B7Z759;J3KP74;B4DW29;B7Z4R8;E9PLR3,A0A0U1RR20;Q92954;A0A024R930;B3KQ20,Proteoglycan 4;Proteoglycan 4 C-terminal part,PRG4
KIT,A0A0U2N547,23.102215,22.50014,22.906735,1.148052762,0.88732499,,,12,12,12,15.2,15.2,15.2,109.36,0,109.97,64133000000,109,A0A0U2N547;P10721;A0A024RDA0;B6E0M6;Q8TCG9,A0A0U2N547;P10721;A0A024RDA0,Mast/stem cell growth factor receptor Kit;Receptor protein-tyrosine kinase,KIT
MYH9,A0A0U4BW16,22.200705,22.85785,22.37701,0.391225486,-0.351269616,,,24,24,17,14.6,14.6,10.7,226.51,0,323.31,10004000000,42,A0A0U4BW16;P35579;A0A024R1N1;Q86XU5;Q6ZNL4;Q99529;B4E3S1;Q2PS10;B1AH99;Q5BKV1,A0A0U4BW16;P35579;A0A024R1N1,Myosin-9,MYH9
,A0A0X9T0H6,31.63491,31.23649,31.17831,0.602137584,0.283183373,,,6,6,3,58.8,58.8,32.5,12.658,0,74.425,4.71E+11,235,A0A0X9T0H6;A0A068LKQ0,A0A0X9T0H6,,
,A0A0X9T7T4,27.010165,26.85638,26.649455,0.034488616,-0.024542194,,,4,2,2,37.3,14.9,14.9,15.052,0,20.379,22059000000,100,A0A0X9T7T4,A0A0X9T7T4,,
,A0A0X9T7V9,30.579865,30.36202,30.26468,0.024847594,0.017840364,,,5,4,3,60.6,45.9,37.6,11.845,0,141.41,2.23E+11,226,A0A0X9T7V9,A0A0X9T7V9,,
,A0A0X9TD47,29.86753,29.91599,29.698565,0.483881111,1.008948983,,,5,3,2,52.3,29,20.6,11.656,0,20.814,1.51E+11,143,A0A0X9TD47,A0A0X9TD47,,
,A0A0X9UWL5,32.5886,31.94,32.06085,2.457429524,0.445631451,,+,6,4,2,54.9,42.5,26.5,12.468,0,299.85,7.97E+11,773,A0A0X9UWL5;A0A0X9TDD0;Q9NP29;A0A125QYY6,A0A0X9UWL5,,
,A0A0X9UWM4,28.571525,28.15074,28.13374,1.86723621,0.442066574,,,3,3,3,31.5,31.5,31.5,14.369,0,90.69,77239000000,288,A0A0X9UWM4,A0A0X9UWM4,,
,A0A0X9V9B3,29.062775,28.89879,28.91953,0.514944624,0.228654692,,,3,2,2,31.2,25,25,12.107,0,53.112,79641000000,171,A0A0X9V9B3,A0A0X9V9B3,,
IGHV1-24,A0A109PT03,26.9193,25.97158,26.67247,1.842946434,0.870193715,,,4,4,3,51.9,51.9,42.6,14.236,0,284.11,17530000000,96,A0A109PT03;A0A0C4DH33;A0A068LN17,A0A109PT03;A0A0C4DH33,,IGHV1-24
,A0A109PVK5,26.339395,25.6554,25.905325,0.025015101,0.063576486,,,4,2,1,33.3,20,8.1,14.969,0,23.377,10448000000,73,A0A109PVK5,A0A109PVK5,,
,A0A120HG46,31.428385,30.80039,30.832455,2.687977256,0.586478657,,+,4,3,1,36.2,23.6,6.3,13.594,0.00062228,5.7599,3.73E+11,239,A0A120HG46;A0A068LKP9;A0A125U0U3,A0A120HG46;A0A068LKP9;A0A125U0U3,,
,A0A125QYY9,30.105125,29.47073,29.604875,1.332586893,0.596850861,,,3,2,1,37.4,22,8.9,13.569,0,275.79,1.52E+11,191,A0A125QYY9,A0A125QYY9,,
,A0A125U0U6,25.44646,25.38443,25.486615,0.630442121,1.07192777,,,3,2,1,45.8,31.8,16.8,11.464,0,112.8,7143500000,44,A0A125U0U6,A0A125U0U6,,
,A0A125U0V1,27.651355,27.63201,27.511935,0.225264848,0.14959543,,,3,2,2,31.7,23,23,13.509,0,100.02,35740000000,157,A0A125U0V1,A0A125U0V1,,
TNXB,P22105,26.685895,26.54038,26.52401,1.003434771,0.218990072,,,85,85,39,32,32,17,458.22,0,323.31,2.53E+11,779,P22105;A0A140TA52;A0A140TA41;A0A140T9C0;A0A140T8Y3;A0A140TA33;A0A140T902;A0A140T8Z8;A0A087X0I0;A0A140T9L7;A0A140T956;Q9NPK7;B6RHJ5;Q9Y464;Q16473;A0A140T923;Q9NPK6;O95681;Q9NPK8;Q9UE34;O95680;O95682;C9J7W4;REV__Q96CG3,P22105;A0A140TA52;A0A140TA41;A0A140T9C0;A0A140T8Y3;A0A140TA33;A0A140T902;A0A140T8Z8;A0A087X0I0;A0A140T9L7,Tenascin-X,TNXB
NAGLU,P54802,23.21964,24.16423,23.97795,1.101769627,-1.297619544,,,24,24,24,44.7,44.7,44.7,82.265,0,323.31,22071000000,123,P54802;A0A140VJE4;Q14769;Q59FD0;K7ENX5;K7EQH9,P54802;A0A140VJE4;Q14769;Q59FD0,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU;ufHSD2
ECM1,Q16610,28.776905,28.46684,28.727405,1.678132878,0.268468708,,,27,27,18,59.4,59.4,40.7,60.673,0,323.31,1.08E+12,1140,Q16610;A0A140VJI7;C8CHS3,Q16610;A0A140VJI7;C8CHS3,Extracellular matrix protein 1,ECM1
FGG,A0A140VJJ6,23.168585,22.37778,23.02119,0.682202488,0.636642647,Tissue enriched,,48,1,0,88.1,4.6,0,49.496,0,7.0165,1678700000,5,A0A140VJJ6;C9JEU5;Q7Z664,A0A140VJJ6;C9JEU5;Q7Z664,,FGG;DKFZp779N0926
PEPD,P12955,24.306405,24.49228,24.35946,0.341764714,-0.114765909,,,18,18,18,45.4,45.4,45.4,54.548,0,323.31,86602000000,230,P12955;J3K000;A0A140VJR2;V9GYE4;K7ES25;V9GYL0;V9GY89,P12955;J3K000;A0A140VJR2,Xaa-Pro dipeptidase,PEPD
SOD3,P08294,22.2023,22.72378,22.67012,0.032448597,-0.05786171,,,8,8,8,53.3,53.3,53.3,25.851,0,150.24,23580000000,114,P08294;A0A140VJU8;B2R9V7;M0R1V4,P08294;A0A140VJU8;B2R9V7,Extracellular superoxide dismutase [Cu-Zn];Superoxide dismutase [Cu-Zn],SOD3
STMN1,P16949,23.86453,21.35146,22.60425,1.543585124,1.696576182,,,4,4,4,28.2,28.2,28.2,17.302,0,7.1191,3243700000,9,P16949;A2A2D0;B5BU83;A0A140VJW2;Q59G27;Q96CE4;Q93045;B7Z4K3;E5RGX5;B7Z4N6,P16949;A2A2D0;B5BU83;A0A140VJW2;Q59G27;Q96CE4,Stathmin,STMN1
AZGP1,P25311,31.501395,31.65438,31.566125,1.858888776,-0.235107909,Tissue enhanced,,20,20,20,63.8,63.8,63.8,34.258,0,323.31,2.11E+12,1875,P25311;A0A140VK00;C9JEV0;A0JLQ0;H7BZJ8,P25311;A0A140VK00;C9JEV0;A0JLQ0,Zinc-alpha-2-glycoprotein,AZGP1
LCAT,P04180,26.386505,26.80193,26.679745,2.883258149,-0.329182222,,+,14,14,14,43.9,43.9,43.9,49.577,0,323.31,1.34E+11,287,P04180;A0A140VK24;J3QSE5;J3QKT0;I3L0J6;I3L1Q6,P04180;A0A140VK24;J3QSE5,Phosphatidylcholine-sterol acyltransferase,LCAT
TALDO1,P37837,27.96498,27.97049,27.82011,0.191211911,0.10009221,,,14,14,14,40.1,40.1,40.1,37.54,0,48.573,1.06E+11,78,P37837;A0A140VK56;F2Z393;B4DID5;E9PM01;E9PKI8,P37837;A0A140VK56;F2Z393,Transaldolase,TALDO1
CALD1,Q05682,23.356755,23.94949,24.19019,0.079570961,-0.148034096,,,16,16,16,22.7,22.7,22.7,93.23,0,234.34,24738000000,89,Q05682;A0A140VKA0;B7Z6G4;E7EX44;Q9NYG1;B4DPW5;E9PGZ1;C9J813;B4E3I0;Q6PJM5;Q6P707;Q05DR4;Q7Z2Y9;C9JEK3;C9JE79;F8WE61;Q5HY93;REV__H0YH95;REV__H0YEF9;REV__E9PJZ7;REV__H0YHK3;REV__B7Z7Y5;REV__Q13136;REV__G3V200;REV__O75334;REV__Q4LE62,Q05682;A0A140VKA0;B7Z6G4;E7EX44;Q9NYG1;B4DPW5;E9PGZ1;C9J813;B4E3I0;Q6PJM5,Caldesmon,CALD1
SERPINF1,P36955,31.03432,31.06085,31.26472,0.053452929,-0.013040755,,,25,25,19,72.7,72.7,59.3,46.312,0,323.31,2.76E+12,2982,P36955;A0A140VKF3;I3L4N7;I3L107;I3L4F9;I3L4Z0;I3L2R7;I3L3Z3;I3L425;I3L1U4,P36955;A0A140VKF3,Pigment epithelium-derived factor,SERPINF1
ISLR,A0A146E5L3,23.05598,22.51036,22.71627,0.439482171,0.330267949,,,6,6,6,16.8,16.8,16.8,45.997,0,19.925,3882400000,30,A0A146E5L3;O14498;H0YL90;H0YN67,A0A146E5L3;O14498;H0YL90;H0YN67,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR
SEPP1,P49908,28.30242,28.2803,28.349395,0.344254206,-0.125972472,,,7,7,3,20.2,20.2,8.1,43.173,0,97.51,2.65E+11,475,P49908;A0A182DWH7;A0A024R054;R4GMT5,P49908;A0A182DWH7,Selenoprotein P,SEPP1
,A0A193CHQ9,31.43062,30.80039,31.16007,1.37460645,0.403142993,,,5,2,0,38.2,14.5,0,14.481,0,49.719,3.69E+11,174,A0A193CHQ9,A0A193CHQ9,,
V2-13,Q5NV73,27.710875,26.37782,27.042065,1.795018691,2.500311597,,,3,2,1,32,22.7,10.3,10.364,0,48.377,21254000000,59,Q5NV73;Q9NSD6;A0A193CHS2;A0A193CHS1;A0A193CHR5;P01714;A2N2W9,Q5NV73;Q9NSD6;A0A193CHS2;A0A193CHS1;A0A193CHR5;P01714;A2N2W9,Ig lambda chain V-III region SH,V2-13;VL4
CTSD,P07339,23.290915,22.82485,23.08149,1.036820109,0.527923266,,,11,11,11,33.3,33.3,33.3,44.552,0,86.436,38688000000,143,P07339;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;V9HWI3;A0A1B0GW44;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;F8WD96;C9JH19;H7C469;H7C1V0;F8W787;A0A0S2Z3L4;A0A1B0GV01;A0A1B0GVF1,P07339;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;V9HWI3;A0A1B0GW44;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;F8WD96;C9JH19;H7C469,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD;HEL-S-130P
,A0A1B1CYC5,29.28582,29.31743,29.28027,0.067967005,-0.212048403,,,3,3,3,50,50,50,3.7183,0,54.21,1.09E+12,404,A0A1B1CYC5,A0A1B1CYC5,,
,A0A1C9J6R5,25.24534,23.82881,24.494885,0.199282765,0.428406249,,,2,2,1,20.5,20.5,14.4,14.639,0,94.518,7379000000,34,A0A1C9J6R5;A0A1C9J6T1,A0A1C9J6R5;A0A1C9J6T1,,
,A0A1L2BU38,27.19787,27.02433,26.68843,0.130124114,-0.110336558,,,3,3,3,20,20,20,13.601,0,50.116,22740000000,166,A0A1L2BU38,A0A1L2BU38,,
IGLC7,A0M8Q6,27.56803,26.80193,27.29319,0.374298486,0.484960768,,,5,3,3,50.9,18.9,18.9,11.253,0,22.11,29204000000,186,A0M8Q6,A0M8Q6,Ig lambda-7 chain C region,IGLC7
HBD,P02042,26.97393,27.28912,27.41538,0.7214503,-0.725011338,,,9,4,1,73.5,36.1,8.2,16.055,0,93.853,25839000000,171,P02042;A0N071;Q4F786;D1MGQ0;E9PFT6;E9PEW8;B2M1S8;Q14485;D1MGP8;C9JRG0;P02100;B3VL28;Q9UM85;Q9Y6D8;Q2XP30;Q5XTR9;A8MUF7;D9YZU7,P02042;A0N071;Q4F786;D1MGQ0;E9PFT6;E9PEW8;B2M1S8,Hemoglobin subunit delta,HBD
V<lambda>3,A0N5G3,25.11797,25.6971,25.869335,0.061297795,0.158290545,,,7,2,2,66.9,26.4,26.4,12.897,0,46.639,7742500000,44,A0N5G3,A0N5G3,,V<lambda>3
F5-20,A0N7I9,26.518785,26.54481,26.81416,0.025169431,-0.044217555,Group enriched,,3,2,2,26.8,17.9,17.9,13.419,0,11.958,25302000000,66,A0N7I9,A0N7I9,,F5-20
,A0N7J6,21.768445,26.23808,25.75241,1.341042648,-2.03867569,,,3,2,2,23.1,16.4,16.4,14.534,0,61.214,22106000000,134,A0N7J6,A0N7J6,,
,A2IPI6,26.27494,26.07112,26.309995,0.063331822,0.112389776,,,3,2,2,33.6,27.4,27.4,12.383,0,80.378,17089000000,140,A2IPI6,A2IPI6,,
,A2J1N6,27.75771,27.85638,27.55362,0.075462627,0.049427986,,,4,2,2,35.7,20,20,12.626,0,10.268,37853000000,164,A2J1N6;A0A193CHR7;A0A193CHR3,A2J1N6;A0A193CHR7;A0A193CHR3,,
,A2J1N7,26.439505,26.16231,26.11037,0.137276555,-0.228599209,,,4,4,3,39.6,39.6,32.3,10.496,0.00057307,4.145,34485000000,79,A2J1N7,A2J1N7,,
,A2J422,26.13075,25.90656,25.63581,0.338343464,0.733084424,,,3,2,1,17.2,12.7,3.7,26.025,0,141.19,6506200000,32,A2J422,A2J422,,
,A2JA16,26.825115,26.88577,26.746365,0.563953245,0.482365312,,,3,2,2,45.8,30.8,30.8,11.621,0,85.359,32265000000,177,A2JA16,A2JA16,,
,A2KBC6,32.08117,31.66712,31.617615,0.79314254,0.265737894,,,10,5,0,49.6,31.5,0,24.969,0,323.31,6.53E+11,784,A2KBC6,A2KBC6,,
A30,A2MYE2,28.85042,28.16039,28.31094,2.620167355,0.674142816,,+,3,2,1,43.8,25,15.6,10.419,0,20.713,59179000000,217,A2MYE2;A2MYE1;P01599,A2MYE2;A2MYE1;P01599,Ig kappa chain V-I region Gal,A30
VK3,A2N2F4,26.074065,25.90656,25.89227,0.138233007,-0.120117272,,,3,2,2,29.6,23.1,23.1,11.886,0,20.671,12425000000,71,A2N2F4,A2N2F4,,VK3
IGKV A18,A2NJV5,29.89143,29.09648,29.14336,1.09708321,0.793180169,,,5,4,1,45.5,34.7,12.4,13.182,0,192.16,1.15E+11,230,A2NJV5,A2NJV5,,IGKV A18
,A2NYU9,26.89694,26.50749,26.424005,0.954979668,1.295497576,,,2,2,2,13.9,13.9,13.9,13.552,0.0011117,3.8191,11922000000,38,A2NYU9,A2NYU9,,
ITIH2,P19823,34.275715,34.55842,34.4209,4.839802442,-0.244183943,Tissue enriched,+,57,57,57,56.1,56.1,56.1,106.46,0,323.31,9.94E+12,9158,P19823;A2RTY6;D3DRR6;Q5T985;B4DM79;Q5T987;CON__Q9TRI1,P19823;A2RTY6;D3DRR6;Q5T985;B4DM79,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2
CSF1R,P07333,24.05431,23.60399,24.442405,0.58666075,0.395267126,,,8,8,8,9,9,9,107.98,0,91.637,85910000000,139,P07333;A2VDG3;E9PEK4;Q59HE0;B4E2Y8;B4DG86;D6RGW1,P07333;A2VDG3;E9PEK4;Q59HE0;B4E2Y8;B4DG86,Macrophage colony-stimulating factor 1 receptor,CSF1R
APOC3,P02656,32.60311,32.78098,32.870955,0.542694939,-0.223626815,Tissue enriched,,6,6,6,56.6,56.6,56.6,10.852,0,323.31,1.53E+12,619,P02656;A3KPE2;B0YIW2,P02656;A3KPE2;B0YIW2,Apolipoprotein C-III,APOC3
F7,P08709,24.1717,24.1946,23.81168,0.703883486,0.693388875,Tissue enriched,,9,9,9,26.6,26.6,26.6,51.593,0,273.9,44952000000,102,P08709;A3RKG7;F5H8B0;B4DPM2;Q6TDG2,P08709;A3RKG7;F5H8B0;B4DPM2,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,F7
PCOLCE,Q15113,23.370325,23.48001,23.051655,1.348984216,-0.748353344,,,16,16,16,43.2,43.2,43.2,47.972,0,219.23,30662000000,129,Q15113;A4D2D2;B4DPJ4,Q15113;A4D2D2,Procollagen C-endopeptidase enhancer 1,PCOLCE
CP,P00450,35.36331,35.34361,35.226435,0.342889332,0.060070038,Tissue enriched,,96,96,0,87.3,87.3,0,122.2,0,323.31,2.07E+13,15730,P00450;A5PL27;Q1L857;A8K5A4;B7Z5Q2;Q6NSB2;H7C5N5,P00450;A5PL27;Q1L857;A8K5A4;B7Z5Q2,Ceruloplasmin,CP
